a2-action-kernels-are-recursive	Every type [A_2] action has a recursive kernel, so every action image has solvable word problem
maslov-no-finite-dissection-type-proof	Proof that Maslov Cantorizations of the Lagrangian Grassmannian have no finite dissection type, via corners over infinitely many quadratic fields, and that pair diagrams would force it
master-route-needs-only-topological-freeness	Both master routes use freeness of the subshift only as topological freeness, plus torsion-free isotropy for the K-gate, so the crux object is a rigid minimal topologically free SFT
mif-free-product-automorphism-ascending-hnn-is-pbh	For a finitely presented simple MIF group M, every ascending HNN extension along an arbitrary automorphism of M * F_m lies in the permutational Boone--Higman class
mihailova-centralizing-hnn-extensions-embed-in-fp-simple-groups	Centralizing HNN extensions of F_m x F_m along Mihailova subgroups of decidable finite presentations embed in finitely presented simple groups (MH)
minimal-dihedral-actions-in-brin-thompson-groups-are-free-proof	Germ length changes vanish for torsion, so fixed sets of involutions in nV are clopen, and a reflection with a fixed point in a minimal dihedral action would create a periodic point
minimal-dihedral-actions-in-brin-thompson-groups-are-free	Involutions of nV have clopen fixed sets, so every minimal dihedral action by elements of nV is free, and SMART's time reversal is a cellwise symbol swap outside 2V
minimal-free-sft-via-minimal-self-simulation-of-squares	The square of the Clapham envelope of K x F_2 carries a minimal free SFT, given (M2) for the envelope and minimal self-simulation for the square
minimal-piecewise-full-group-derived-subgroup-is-simple	For every minimal piecewise full group of homeomorphisms of the Cantor space, the derived subgroup is simple
minimal-sfts-with-a-finite-modification-are-not-quantum-rigid	Over any finitely generated group, a minimal subshift of finite type in which two configurations differ on a nonempty finite set is not quantum rigid at any scale
mixed-identities-encode-normal-closure-commutation	The mixed identity [x c x^-1, d] holds in G exactly when the normal closures of c and d commute, so a finitely presented group with solvable word problem and undecidable normal-closure commutation would answer MathOverflow 412219 negatively
mixed-radix-prefix-replacement-groups-omit-baumslag-solitar	Prefix-replacement groups of mixed-radix odometer spaces are locally finite or embed in a Higman-Thompson group, so none contains BS(1,p) for p >= 2, (Q,+), or Aff(Q)
monomial-renormalization-compiler-gives-dilation-groups-in-nv	Several SMART odometers under one product or block-rotating code put Z^d[1/M] semidirect <M> into a Brin-Thompson group for every odd monomial dilation M
monomial-renormalization-compiler-proof	Product codes multiply odometer heights; a global block rotation composed with one code realizes a companion matrix; then compile
mosher-suffix-uniqueness-continuity-proof	Iterate the suffix uniqueness step from the end of the word, whose choices depend only on the last n letters and a carry in the finite ball B_K
mosher-suffix-uniqueness-gives-continuous-inverse-normal-forms	An automatic structure with Mosher's suffix uniqueness property is suffix-continuous under right multiplication, so its inverted language is a continuous normal form for the left action
multi-ended-branch-actions-are-boundary-sandwiched	A faithful multi-ended transitive action of a weakly branch group with finitely generated level rigid stabilizers is sandwiched between a direct sum of rigid stabilizers and a boundary-point stabilizer
multi-ended-weakly-branch-actions-sandwich-proof	The level rigid stabilizer rist(n) acts on each of its orbits through exactly one vertex; those vertices form the ray, and the other rigid stabilizers act through finite groups
mz-germ-finite-presentation-lifts-to-the-envelope	If the near shift group is finitely presented with finitely generated near-index kernel then the Mallery-Zaremsky envelope is finitely presented
n-adic-lodha-moore-groups-embed-in-piecewise-projective-group	Kodama's n-adic Lodha–Moore groups G_0(n) embed in the group of piecewise projective homeomorphisms of the line
n-adic-lodha-moore-groups-have-no-analytic-tree-coding-proof	The finitary rule y(0kζ) = kζ forces y = g_0^(−1) on one side of ψ(0^∞), and the contracting rule y(00ζ) = 0y(ζ) then forces g_0 to fix that side pointwise
n-adic-lodha-moore-groups-have-no-analytic-tree-coding	For n ≥ 3, no real-analytic tree coding of the n-ary Cantor space makes the generator y_((n−1)0) of Kodama's n-adic Lodha–Moore group G_0(n) piecewise analytic; so no digit recoding puts G_0(n) into Monod's group H through Lodha–Moore's coding
negative-base-pisot-stein-groups-are-contracting-rsgs-proof	The negative-base map has Z[β] as its boundary set, and the positive-base finite-nucleus argument goes through with slopes ±β^k
negative-base-pisot-stein-groups-are-contracting-rsgs	If β > 2 is a Pisot unit whose negative-base map y ↦ {−βy} sends every point of Z[β] ∩ [0,1) to 0, the group of piecewise maps y ↦ ±β^k y + c (c ∈ Z[β]) is a full contracting RSG; so it is finitely presented and it, with all its subgroups, embeds in a finitely presented simple group
negative-base-pisot-stein-groups-are-finitely-presented	If β > 2 is a Pisot unit whose map y ↦ {−βy} reaches 0 from every point of Z[β] ∩ [0,1), then V(Z[β],⟨β⟩,ℓ) is finitely presented, through the orientation-preserving square of that coding; in degree ≥ 3 its derived subgroup is a finite-index finitely presented simple group, and every real field of degree ≥ 3 has such slopes
nekrashevych-fp-iff-cycle-germ-groups-fp-proof	The eventual-state cocycle into the free groupoid on loop arrows carries the lift-ideal construction into the germ relators, and conversely the cycling relators are exactly the germ-groupoid relators
nekrashevych-fp-iff-cycle-germ-groups-fp	For an automaton of subexponential activity, V_d(G) is finitely presented if and only if the germ groups of G at its cycle rays are, and each such germ group embeds in a wreath product of a strictly lower-degree automaton group with a finite group; necessity holds for every automaton
neumann-alternating-product-group-embeds-in-fp-rf-group	B. H. Neumann's two-generated group containing the direct sum of finite odd alternating groups embeds in a finitely presented residually finite group
neumann-doubling-host-candidate	Adding the doubling map to Neumann's group gives a residually finite ascending HNN extension, (locally finite)-by-BS(1,2), whose finite presentability is exactly a window question
neumann-doubling-host-is-not-fp	The doubling host of Neumann's group is not finitely presented, because sparse doubling orbits give fake actions of every truncated presentation
neumann-group-is-locally-finite-by-z-and-not-fp	Neumann's group is (locally finite)-by-Z with explicit finite windows, is not finitely presented, is effectively residually finite, and embeds in no group acting on a bounded-degree rooted tree
neumann-projective-host-candidate	A residually finite projective thickening of SL_d(Z[1/2]), d ≥ 3, contains Neumann's group and escapes both known finite-presentation obstructions; whether it is finitely presented is open
no-free-q-odd-action-by-v-has-a-doubling-intertwiner	No free action of an amenable group with free Z/p for infinitely many primes admits a V-intertwiner with its doubled lift, so Q semidirect <2> never embeds in 2V_tau with 1 sent to the odometer
no-homeomorphism-shifts-odd-denominator-translations	No homeomorphism of a compact space conjugates the l-adic translations by 1/p_0, 1/p_1 to those by 1/p_1, 1/p_2 for distinct primes; additive prime shifts are impossible on a common coordinate
no-homeomorphism-shifts-primes-acting-as-l-adic-scalars	No homeomorphism of a compact space conjugates the l-adic unit actions of six primes p_0..p_5 in a chain p_k -> p_(k+1)
no-nontrivial-germ-is-shift-conjugate-to-a-proper-power	If conjugating a germ x in Sym(N)/FSym(N) by the shift gives x^k with k ≠ -1 then x = 1; so Baumslag-Solitar near actions with t acting as the shift are trivial, and cyclic groups of germs cannot witness a non-strongly shift-similar group
non-elementary-hyperbolic-groups-are-contracting-rsgs	Every non-elementary hyperbolic group is isomorphic to a contracting rational similarity group (BBMZ-hyperbolic Question 1.1)
non-exact-group-with-polytime-word-problem-exists	Some finitely generated non-exact group has word problem solvable in polynomial time
non-fp2-groups-are-quasi-retracts-of-simple-groups-proof	Take the twisted Brin--Thompson group of the regular action; Alonso's theorem forces its finiteness down to that of H
non-fp2-groups-are-quasi-retracts-of-simple-groups	A finitely generated group of type FP_2 over no field is a subgroup and a quasi-retract of a finitely generated simple group with the same finiteness properties, which answers LISW Question 1.10 for such subgroups of GL_n(C), e.g. Z wr Z
non-lcm-dissection-operad-groups-are-f-infinity	Thompson-like groups of dissection operads without least common multiples are of type F-infinity once square filling holds and the spine of minimal common refinements is finite
non-spanning-subsets-of-an-f2-space-are-highly-connected	The simplicial complex of non-spanning sets of nonzero vectors of F_2^r is (r-3)-connected
nonamenable-products-have-minimal-sft-extensions-of-free-inputs	Over a product of two finitely generated non-amenable groups with decidable word problem, every effectively closed minimal free subshift is a factor of a minimal subshift of finite type
nonfibered-closed-graph-manifold-groups-satisfy-pbh	Fundamental groups of closed graph manifolds that are not virtually fibered lie in the permutational Boone--Higman class
nonfibered-graph-manifold-groups-have-no-fg-normal-subgroups	A closed graph manifold group with non-trivial JSJ decomposition and no fibered finite cover has no finitely generated normal subgroup of infinite index except the trivial one, so it meets every normal free or surface subgroup of a host trivially or in an infinitely generated subgroup
